W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W6NEETAct,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QMAFI,W8DINCW
252000,291000,2,1,2,0,1,2,1,6,13,1,2,2,1,0,0,2,0,0,2,2,0,2,1,2,3,2,1,2,3,32,1,2,3,5,2,2,2,5,16,-91,1,1,2,1,2,2,1,9,4,4,2,-91,10,-91,0,0,1,2,3,2,269.53
216000,-1,2,1,1,0,1,2,1,1,2,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,1,2,1,1,3,23,5,2,3,1,1,2,1,5,9,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,-91,1,0,1,4,1,2,410.17
200000,-99,3,1,2,-99,1,2,1,-99,9,1,3,6,1,0,0,1,0,0,2,1,0,4,4,-99,-99,-99,-99,-99,-99,-99,0,2,1,-91,1,2,2,5,16,-91,2,2,2,1,2,2,2,9,4,4,2,-91,10,-91,0,0,1,5,1,3,302.61
197000,197000,3,1,2,1,1,1,1,7,7,1,3,6,1,0,1,1,0,1,2,2,0,4,1,1,5,2,1,1,1,47,0,2,1,2,2,2,2,5,18,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,1,0,1,4,1,1,345.62
180000,191865.88,1,1,2,2,1,1,1,2,8,2,1,1,2,0,1,2,0,0,2,3,0,1,1,2,2,2,1,2,3,38,3,2,3,5,1,2,2,5,13,-91,1,1,2,1,2,2,2,9,4,4,2,-91,15,-91,1,1,1,4,1,2,392.29
162000,-1,1,1,2,1,1,2,1,2,2,1,2,2,1,0,1,1,0,1,2,2,0,1,1,1,5,2,2,-92,3,39,0,2,1,4,2,2,2,5,18,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,1,0,1,4,1,1,394.34
156020.8,166020.8,1,1,2,2,1,2,1,2,1,1,2,2,1,0,2,1,0,0,2,3,0,1,1,1,5,2,2,1,1,38,1,2,2,4,2,2,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,1,2,1,7,2,2,321.52
150000,168720,1,1,2,1,1,2,1,15,9,1,1,1,1,0,1,1,0,0,2,2,0,7,1,3,4,2,2,2,3,41,0,2,1,3,2,2,2,5,16,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,-91,-1,3,1,4,1,1,335.52
130000,156400,1,1,2,0,1,2,1,1,1,1,1,1,1,0,0,2,1,1,2,3,0,1,1,1,5,1,1,1,3,33,2,2,2,2,1,2,2,5,18,-91,1,2,2,1,2,2,2,2,4,4,2,-91,19,-91,1,1,1,5,1,1,438.72
120000,120000,5,1,2,0,1,2,1,8,4,3,3,6,3,0,0,1,0,0,2,1,0,1,1,4,2,-1,1,2,3,22,7,2,4,3,-92,2,2,5,8,-91,1,1,2,1,2,2,2,9,4,4,2,-91,9,-91,-1,4,1,7,1,3,322.92
115000,-99,3,1,2,2,1,2,1,1,-99,1,1,1,1,0,1,2,0,1,2,3,0,-99,1,1,5,2,1,2,3,41,1,2,2,2,2,2,2,5,16,-91,2,1,2,2,2,2,2,3,4,1,2,-91,15,-91,-1,1,1,1,1,1,275.55
100000,150000,3,1,2,0,1,2,1,2,3,1,1,1,1,0,0,2,0,1,2,2,0,2,1,1,5,2,2,2,3,36,4,2,2,2,1,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,-1,1,4,1,2,451.57
93024,122524,1,1,2,0,1,2,1,20,20,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,3,2,1,2,3,41,7,2,3,3,1,1,2,5,11,-91,2,2,2,1,2,2,2,9,4,4,2,-91,16,-91,1,0,1,4,1,2,367.58
90000,155000,1,1,2,0,1,1,1,2,2,1,1,1,1,0,0,1,0,1,2,1,0,1,1,1,4,2,2,1,3,26,0,2,1,3,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,-1,0,1,1,2,2,383.23
90000,162000,1,1,2,1,1,2,1,1,1,1,1,1,1,0,0,2,0,1,2,2,0,1,1,1,4,2,1,1,3,35,0,2,2,3,2,2,2,5,14,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,1,1,1,4,1,3,404.2
86400,159400,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,2,2,0,1,1,1,5,2,2,1,3,42,1,2,2,6,2,2,2,5,19,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,-1,2,1,4,1,2,366.69
85000,-999,1,1,2,1,1,2,1,7,2,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,3,2,2,2,3,41,11,2,3,3,-1,1,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,6,-91,1,2,2,2,6,1,422.12
80640,105840,1,1,2,0,1,2,1,2,8,1,1,1,1,0,0,1,0,1,2,1,0,1,1,1,5,2,1,2,3,43,0,2,1,3,2,2,2,5,20,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,-1,0,1,4,1,2,367.22
80000,80000,1,1,-92,1,1,2,1,2,1,1,3,6,1,0,0,2,0,0,2,2,0,1,8,-99,-99,-99,-99,-99,3,-99,4,1,3,3,2,1,1,5,17,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,17,-91,1,6,1,4,1,1,292.58
79040,79040,1,1,2,0,1,2,1,-98,2,1,-98,-98,1,0,0,1,1,0,-98,2,1,1,1,2,3,2,1,1,3,29,1,2,2,2,1,1,2,5,15,-91,2,2,2,2,2,2,2,9,4,4,2,-91,13,-91,-1,3,1,3,1,1,339.2
78000,142688,1,1,1,-995,1,2,1,9,9,1,1,1,1,0,0,2,0,0,2,2,0,5,1,2,3,2,1,1,-94,29,4,2,4,2,1,2,2,2,9,-91,2,2,2,1,2,2,2,9,4,4,2,-91,14,-91,-1,5,1,5,2,2,381.13
78000,96008.64,1,1,2,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0,2,3,0,1,7,1,5,2,2,2,3,43,1,2,2,-91,2,1,1,5,18,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,15,-91,0,0,1,7,1,2,296.67
75000,127998.4,1,1,1,2,1,2,1,2,8,1,1,1,1,0,1,2,0,0,3,3,0,1,1,1,3,2,1,2,3,42,2,2,1,3,1,2,2,2,13,-91,1,2,2,1,2,1,2,9,4,4,2,-91,10,-91,-1,1,1,2,4,3,349.62
73000,88000,1,1,2,1,1,2,1,7,2,1,1,1,1,0,1,1,0,0,2,2,0,1,1,1,3,2,1,2,3,34,8,2,4,-97,-97,-97,-97,5,16,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,16,-91,-1,5,1,2,1,2,376.1
72820.8,72820.8,3,1,2,2,1,2,1,7,1,1,3,6,1,0,2,1,1,0,2,4,0,3,1,2,5,2,1,2,3,28,11,-1,4,5,1,2,2,5,9,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,-91,-1,0,2,4,11,1,376
72000,72000,1,1,2,2,1,2,1,20,2,1,3,6,1,0,2,1,1,1,2,4,0,2,8,1,4,2,2,2,3,41,6,1,4,-91,2,2,1,5,18,-91,2,1,2,2,2,2,2,9,4,4,2,-91,10,-91,1,2,2,5,3,1,285.23
72000,72000,1,1,2,0,1,2,1,20,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,4,1,5,2,2,2,3,37,2,2,2,-91,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,8,-91,1,0,1,5,1,1,224.69
70000,70000,1,1,2,0,1,2,1,2,-99,-99,1,1,-99,0,0,1,0,1,3,1,0,-99,1,1,4,2,1,1,3,40,3,2,3,2,1,2,2,5,15,-91,2,1,2,1,2,2,2,9,4,4,2,-91,16,-91,1,2,1,4,1,2,349.87
70000,70000,1,1,2,0,1,2,1,1,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,1,2,5,2,2,1,3,40,1,2,1,5,2,2,2,5,14,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,2,1,5,2,3,239.27
67500,100680,11,1,1,0,1,1,1,1,2,3,1,1,7,0,0,1,0,1,2,1,0,2,1,1,5,2,1,1,1,37,0,2,1,3,2,2,2,5,16,-91,2,1,2,2,2,1,2,9,4,4,2,-91,17,-91,0,1,1,1,1,3,291.55
67000,131750,1,1,2,1,1,2,1,7,1,1,1,1,1,0,1,2,0,1,2,3,0,1,2,1,5,2,-1,1,3,29,4,2,3,2,1,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,1,1,1,7,1,1,324.31
66580.8,66580.8,1,1,2,0,1,2,1,20,9,1,3,6,1,0,0,1,0,0,2,1,0,2,1,2,5,2,1,2,3,20,1,2,2,2,1,2,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,17,-91,1,0,1,5,1,2,367.61
