"","W1GrssyrMP","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","W1ch0_2HH","W1ch3_11HH","W1ch12_15HH","W1ch16_17HH","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W6NEETAct","W8DDEGP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QMAFI","W8DINCW"
"1",252000,291000,"2","1","2","0","1","2","1","6","13","1","2","2","1","0","0","2","0","0","2","2","0","2","1","2","3","2","1","2","3",32,1,"2","3","5","2","2","2","5",16,NA,"1","1","2","1","2","2","1","9","4","4","2",NA,10,NA,"0",0,"1","2","3","2",269.53
"2",216000,NA,"2","1","1","0","1","2","1","1","2","1","2","2","1","0","0","1","1","0","2","2","0","2","1","3","1","2","1","1","3",23,5,"2","3","1","1","2","1","5",9,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,12,NA,"1",0,"1","4","1","2",410.17
"3",197000,197000,"3","1","2","1","1","1","1","7","7","1","3","6","1","0","1","1","0","1","2","2","0","4","1","1","5","2","1","1","1",47,0,"2","1","2","2","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",0,"1","4","1","1",345.62
"4",180000,191865.88,"1","1","2","2","1","1","1","2","8","2","1","1","2","0","1","2","0","0","2","3","0","1","1","2","2","2","1","2","3",38,3,"2","3","5","1","2","2","5",13,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,15,NA,"1",1,"1","4","1","2",392.29
"5",156020.8,166020.8,"1","1","2","2","1","2","1","2","1","1","2","2","1","0","2","1","0","0","2","3","0","1","1","1","5","2","2","1","1",38,1,"2","2","4","2","2","2","5",16,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,13,NA,"1",2,"1","7","2","2",321.52
"6",150000,168720,"1","1","2","1","1","2","1","15","9","1","1","1","1","0","1","1","0","0","2","2","0","7","1","3","4","2","2","2","3",41,0,"2","1","3","2","2","2","5",16,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,12,NA,NA,3,"1","4","1","1",335.52
"7",130000,156400,"1","1","2","0","1","2","1","1","1","1","1","1","1","0","0","2","1","1","2","3","0","1","1","1","5","1","1","1","3",33,2,"2","2","2","1","2","2","5",18,NA,"1","2","2","1","2","2","2","2","4","4","2",NA,19,NA,"1",1,"1","5","1","1",438.72
"8",93024,122524,"1","1","2","0","1","2","1","20","20","1","1","1","1","0","0","1","1","0","2","2","0","2","1","1","3","2","1","2","3",41,7,"2","3","3","1","1","2","5",11,NA,"2","2","2","1","2","2","2","9","4","4","2",NA,16,NA,"1",0,"1","4","1","2",367.58
"9",90000,155000,"1","1","2","0","1","1","1","2","2","1","1","1","1","0","0","1","0","1","2","1","0","1","1","1","4","2","2","1","3",26,0,"2","1","3","2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,NA,0,"1","1","2","2",383.23
"10",90000,162000,"1","1","2","1","1","2","1","1","1","1","1","1","1","0","0","2","0","1","2","2","0","1","1","1","4","2","1","1","3",35,0,"2","2","3","2","2","2","5",14,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",1,"1","4","1","3",404.2
