W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-999,2,1,2,0,1,1,1,20,20,3,2,2,7,0,2,1,0,2,1,1,3,2,1,2,3,38,1,2,3,3,2,2,2,5,14,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,17,2,1,4,1,0
-999,2,1,2,0,1,2,1,15,7,1,2,2,1,0,2,2,0,2,1,2,4,2,1,2,3,32,7,2,3,2,1,2,2,5,9,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,1,1,5,1,0
-999,1,1,2,0,1,2,1,20,8,1,1,1,1,0,2,2,0,1,1,1,3,2,1,1,3,35,2,2,3,2,2,2,2,5,15,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,1,1,5,6,0
-999,4,1,1,1,1,5,1,15,-98,-98,2,2,-98,0,1,2,1,4,1,2,4,2,1,1,3,44,3,2,3,3,2,2,2,5,15,-91,2,2,2,1,2,2,2,9,4,4,1,1,14,1,1,4,5,100
-999,2,1,1,-995,1,2,1,15,2,3,2,2,8,0,2,1,0,3,3,1,4,-92,2,1,1,31,0,2,1,-91,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,11,8,1,5,1,100
-999,1,1,2,3,1,1,1,20,1,1,3,6,1,0,2,6,0,4,4,1,1,-97,-97,-97,3,-97,0,2,1,-91,2,2,2,5,20,-91,2,1,2,2,2,1,2,9,4,4,2,-91,24,0,1,1,2,200
-999,1,1,2,4,1,2,1,2,1,1,2,2,1,0,2,5,0,1,1,1,3,2,-1,2,3,42,1,2,1,4,2,2,2,5,18,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,0,1,4,1,300
-999,2,1,1,2,1,2,2,15,-98,-98,2,2,-98,0,-92,4,1,4,3,1,4,2,2,-1,3,38,1,2,2,2,2,2,2,5,15,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,17,0,1,5,1,300
-999,1,1,2,0,1,4,1,16,16,1,1,1,1,0,2,1,0,4,2,1,2,2,2,2,2,35,3,2,3,3,2,2,2,5,13,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,14,1,1,7,1,300
-999,1,1,1,5,1,1,1,20,20,1,3,6,1,0,2,6,0,4,3,1,5,-92,2,2,3,45,-97,-97,-97,-91,2,1,1,5,19,-91,1,1,2,1,2,1,2,9,4,4,2,-91,12,0,2,1,1,500
