"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"1",NA,2,1,2,0,1,1,1,20,"20","3",2,2,"7",0,2,1,0,2,1,1,3,2,1,2,3,38,1,2,3,"3",2,2,2,5,14,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,2,"1","4",1,0
"2",NA,2,1,2,0,1,2,1,15,"7","1",2,2,"1",0,2,2,0,2,1,2,4,2,1,2,3,32,7,2,3,"2",1,2,2,5,9,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",14,1,"1","5",1,0
"3",NA,1,1,2,0,1,2,1,20,"8","1",1,1,"1",0,2,2,0,1,1,1,3,2,1,1,3,35,2,2,3,"2",2,2,2,5,15,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,1,"1","5",6,0
"4",NA,4,1,1,1,1,5,1,15,"Missing","Missing",2,2,"Missing",0,1,2,1,4,1,2,4,2,1,1,3,44,3,2,3,"3",2,2,2,5,15,"Missing",2,"2","2","1",2,"2","2",9,4,4,1,"1",14,1,"1","4",5,100
"9",NA,1,1,2,0,1,4,1,16,"16","1",1,1,"1",0,2,1,0,4,2,1,2,2,2,2,2,35,3,2,3,"3",2,2,2,5,13,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","7",1,300
"11",NA,2,1,2,0,1,1,1,8,"9","1",2,2,"1",0,2,2,0,4,1,3,1,2,1,2,3,37,0,2,1,"3",2,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",13,0,"1","2",1,500
"13",NA,3,1,2,3,1,1,1,20,"2","1",3,6,"1",0,2,4,0,2,4,1,5,2,2,2,3,48,0,2,1,"Missing",2,2,2,5,13,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",16,7,"1","5",1,500
"14",NA,2,1,2,0,1,2,1,15,"Missing","Missing",2,2,"Missing",0,5,2,1,4,1,2,1,2,1,1,3,27,5,2,3,"3",1,2,2,1,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",9,0,"1","4",1,600
"16",NA,1,1,2,1,1,6,1,2,"2","1",3,6,"1",0,2,3,0,2,8,1,5,2,2,1,3,25,3,2,3,"6",2,2,2,5,9,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",18,4,"1","5",1,600
"17",NA,1,1,1,2,1,2,1,15,"4","1",1,1,"1",0,2,4,0,4,1,1,3,1,1,1,3,33,7,2,3,"3",1,1,2,5,11,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",8,3,"1","2",1,700
"19",NA,2,1,2,0,1,2,1,15,"13","1",2,2,"1",0,2,2,0,5,1,3,4,2,1,1,3,43,2,2,1,"4",1,2,2,2,17,"Missing",1,"1","1","1",2,"1","1",9,4,4,2,"Missing",10,0,"1","4",1,1000
